rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
1,ke,810,p085_ke_eb_vt,"to chop, hack (with axe or machete), keep ketit to chop the tree",,,
2,ki,458,p052_ki_bo_vt,"to boil a liquid, kibo bek to boil water",,,
3,ko,189,p145_kobob_adv,/kopop/ when an uncircumcised boy sleeps with a circumcised woman. kegurji kobob,,,
4,kei,177,p111_keit_n,abdomen,,,
5,ab,142,p027_ab_p,of. logok ab ko i. the children of this house,,,
6,ne,86,p218_negit_a,"near, ne negit koit ka the one who is near to arrive home",,,
7,mi,69,p194_miat_n,1. death,,,
8,ta,53,p279_ta_adv,as long as,,,
9,lit,53,p178_litit_a,1. straight,,,
10,lakwet,49,p171_lakwet_n,"1. child. lakwa. (S/he) is like a child, i.e. immature",,,
11,chi,42,p073_chiget_n,kitchen,,,
12,bek,39,p038_bek_n,1. water. lune bek che lolong',,,
13,kot,38,p151_kot_adv,house,,,
14,met,37,p194_metit_n,"head, metit ab migisit the fi-ont ofthe train",,,
15,bo,28,p052_bo_p,"/pa/ [cf. ab of] of, for",,,
16,ak,25,p027__ak_af,one,,,
17,mo,22,p197_mobet_n,"Markhamia platycalyx, slender-trunked tree usually 30-40 ft; exceptional specime",,,
18,let,22,p176_letut_n,"1. behind, last, rear. 2. behind or rear of female animal, esp. ofcow (in sec. f",,,
19,get,22,p120_ke_get_vt,"1. to drive (e.g. car, but not cattle or sheep/goats), keget karit to drive a ca",,,
20,chego,21,p059_chego_n,milk,,,
21,oret,20,p241_oret_n,"1. road, path",,,
22,teta,19,p289_teta_n,1. cow. 2. placenta (human),,,
23,eng',19,p087_eng'_p,in. eng orit in the inside,,,
24,kono,18,p149_konom_num,fifty,,,
25,set,18,p262_seta_a,ingrown (cow's horns which grow facing down),,,
26,bik,18,p042_bik_n,people (sg. chito),,,
27,ka,18,p102_ka_n,"(no pi., no sec.) [cf. kot house] home (one's - -)",,,
28,mie,16,p194_mie_a,good,,,
29,bor,16,p046_borbor_a,"brittle, crumbly, delicate, fragile (of dry things and, by extension, of a perso",,,
30,kut,16,p158_kutet_n,"ant-bear (obs., replaced by kimogutiet)",,,
31,ya,16,p316_ya_a,1. bad,,,
32,ok,15,p323_okwet_n,"[cf. okwot, kwaget to graze] 1. place where cattle are grazing",,,
33,arap,14,p031_arap_n,son of Arap Bet Mr,,,
34,yo,14,p320_yo_adv,"[cf yu here, yun yonder] there",,,
35,che,14,p056_ke_che_vt,to come ahead of and catch red-handed,,,
36,si,14,p263_sibit_n,zip(per),,,
37,ketit,14,p120_ketit_n,"1. tree, ket ne o a large tree",,,
38,ng'al,14,p220_ke_ng'al_vt,"to deceive, trick, mislead, cheat",,,
39,mat,13,p188_mat_n,1. fire,,,
40,man,13,p185_manget_n,sap oftree,,,
