id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
hollis_p004_chesume_n,4,chesume,noun,Chesume (western county). (proper toponym),,,,CLEAN,,,,,,,,,,
hollis_p004_masop_n,4,masop,noun,Masop (eastern county). (proper toponym),,,,CLEAN,,,,,,,,,,
hollis_p004_pororiet_n,4,pororiet,noun,"district, division. (administrative subdivision)",pororosiek (pl.),,,CLEAN,,,,,,,,,,
hollis_p004_soiin_n,4,soiin,noun,Soiin (southern county). (proper toponym; aka Pelkut),,,,CLEAN,,,,,,,,,,
hollis_p005_asis_-,5,asis,-,"noun. (God, the Sun)",asista (pl.),,,CLEAN,,,,,,,,,,
hollis_p005_chemur_n,5,chemur,noun,Chemur clan. (totem: wild cat),,,,CLEAN,,,,,,,,,,
hollis_p005_chepkokosiot_n,5,chepkokosiot,noun,buzzard. (totem of Kipkokos),,,,CLEAN,,,,,,,,,,
hollis_p005_chepsiriret_n,5,chepsiriret,noun,hawk. (totem of Sokom),,,,CLEAN,,,,,,,,,,
hollis_p005_kamwaike_n,5,kamwaike,noun,Kamwaike clan. (totem: partridge),,,,CLEAN,,,,,,,,,,
hollis_p005_kimaketyet_n,5,kimaketyet,noun,hyena. (cf. class I.A kimaket),,,,CLEAN,,,,,,,,,,
hollis_p005_kipaa_n,5,kipaa,noun,Kipaa clan. (totem: snake & colobus monkey),,,,CLEAN,,,,,,,,,,
hollis_p005_kipamwi_n,5,kipamwi,noun,Kipamwi clan. (totem: duiker),,,,CLEAN,,,,,,,,,,
hollis_p005_kipasiso_n,5,kipasiso,noun,Kipasiso clan. (totem: sun & mole),,,,CLEAN,,,,,,,,,,
hollis_p005_kipiegen_n,5,kipiegen,noun,Kipiegen clan. (totem: baboon & house rat),,,,CLEAN,,,,,,,,,,
hollis_p005_kipkenda_n,5,kipkenda,noun,Kipkenda clan. (totem: bee & frog),,,,CLEAN,,,,,,,,,,
hollis_p005_kipkoiitim_n,5,kipkoiitim,noun,Kipkoiitim clan. (totem: elephant & chameleon),,,,CLEAN,,,,,,,,,,
hollis_p005_kipkokos_n,5,kipkokos,noun,Kipkokos clan. (totem: buzzard),,,,CLEAN,,,,,,,,,,
hollis_p005_kipoiis_n,5,kipoiis,noun,Kipoiis clan. (totem: jackal & cockroach),,,,CLEAN,,,,,,,,,,
hollis_p005_kipsirgoi_n,5,kipsirgoi,noun,Kipsirgoi clan. (totem: bush pig),,,,CLEAN,,,,,,,,,,
hollis_p005_kiptopke_n,5,kiptopke,noun,Kiptopke clan. (totem: monkey),,,,CLEAN,,,,,,,,,,
hollis_p005_koroiityet_n,5,koroiityet,noun,Colobus monkey. (cf. class II.A koroiit),,,,CLEAN,,,,,,,,,,
hollis_p005_leluot_n,5,leluot,noun,jackal. (totem of Kipoiis),,,,CLEAN,,,,,,,,,,
hollis_p005_moi_n,5,moi,noun,Moi clan. (totem: crested crane & buffalo),,,,CLEAN,,,,,,,,,,
hollis_p005_muriot_n,5,muriot,noun,house rat,,,,CLEAN,,,,,,,,,,
hollis_p005_peliot_n,5,peliot,noun,elephant. (see also class X),,,,CROSS-REF,,,,,,,,,,
hollis_p005_pirechet_n,5,pirechet,noun,soldier ant. (totem of Toiyoi),,,,CLEAN,,,,,,,,,,
hollis_p005_pungungwet_n,5,pungungwet,noun,mole. (totem of Kipasiso),,,,CLEAN,,,,,,,,,,
hollis_p005_robta_n,5,robta,noun,rain. (borrowed from Galla per Eliot),,,,CLEAN,,,,,,,,,,
hollis_p005_segemyat_n,5,segemyat,noun,bee. (cf. class X segemya),,,,CLEAN,,,,,,,,,,
hollis_p005_sokom_n,5,sokom,noun,Sokom clan. (totem: hawk),,,,CLEAN,,,,,,,,,,
hollis_p005_taiyuet_n,5,taiyuet,noun,partridge. (cf. class I.C taiyua),,,,CLEAN,,,,,,,,,,
hollis_p005_talai_n,5,talai,noun,Talai clan. (totem: lion; medicine men),,,,CLEAN,,,,,,,,,,
hollis_p005_toiyoi_n,5,toiyoi,noun,Toiyoi clan. (totem: soldier ant & rain),,,,CLEAN,,,,,,,,,,
hollis_p005_tungo_n,5,tungo,noun,Tungo clan. (totem: hyena),,,,CLEAN,,,,,,,,,,
hollis_p013_injorut_n,13,injorut,noun,goats' compartment of hut,,,,CLEAN,,,,,,,,,,
hollis_p013_kipsat_-,13,kipsat,-,noun. (hut (alt form)),korik-ap-sat (pl.),,,CLEAN,,,,,,,,,,
hollis_p013_koiimaut_n,13,koiimaut,noun,main living-room of hut,,,,CLEAN,,,,,,,,,,
hollis_p013_kutitaptaput_n,13,kutit-ap-taput,noun,skylight,,,,CLEAN,,,,,,,,,,
hollis_p013_nganaset_n,13,nganaset,noun,group of huts,,,,CLEAN,,,,,,,,,,
hollis_p014_ireusiek_n,14,ireusiek,noun,pegs (for hanging arms/gourds). (pl.),,,,CLEAN,,,,,,,,,,
hollis_p014_kilonget_n,14,kilonget,noun,depression in floor for beer pot,,,,CLEAN,,,,,,,,,,
hollis_p014_kiylengut_n,14,kiylengut,noun,milk compartment,,,,CLEAN,,,,,,,,,,
hollis_p014_pambaniat_n,14,pambaniat,noun,rafter of hut ceiling,,,,CLEAN,,,,,,,,,,
hollis_p015_kimonjokut_n,15,kimonjokut,noun,stick surmounting central pole,,,,CLEAN,,,,,,,,,,
hollis_p015_mabwaita_n,15,mabwaita,noun,charm of lepesuet sticks at house entrance. (good-luck token),,,,CLEAN,,,,,,,,,,
hollis_p015_taloita_n,15,taloita,noun,central pole of hut,,,,CLEAN,,,,,,,,,,
hollis_p016_choket_n,16,choket,noun,granary,,,,CLEAN,,,,,,,,,,
hollis_p016_ekoruek_n,16,ekoruek,noun,warriors' hut in woods for slaughtering oxen. (pl.),,,,CLEAN,,,,,,,,,,
hollis_p016_kaitammurenik_n,16,kait-am-murenik,noun,warriors' clubhouse,,,,CLEAN,,,,,,,,,,
hollis_p016_kaptich_n,16,kap-tich,noun,cattle kraal,,,,CLEAN,,,,,,,,,,
hollis_p016_peut_n,16,peut,noun,cattle enclosure,,,,CLEAN,,,,,,,,,,
hollis_p017_chepkimaliot_n,17,chepkimaliot,noun,hut in centre of cattle kraal,,,,CLEAN,,,,,,,,,,
hollis_p018_pak_n,18,pak,noun,eleusine grain. (Eleusine coracana),,,,CLEAN,,,,,,,,,,
hollis_p019_chepusoon_n,19,chepusoon,noun,wind,,,,CLEAN,,,,,,,,,,
hollis_p025_keliot_n,25,keliot,noun,Acocanthera schimperi (poison tree). (source of arrow poison),,,,CLEAN,,,,,,,,,,
hollis_p025_kesimoret_n,25,kesimoret,noun,knife for tapping palms,,,,CLEAN,,,,,,,,,,
hollis_p025_kupenet_n,25,kupenet,noun,honey-hive in rock,,,,CLEAN,,,,,,,,,,
hollis_p025_pondet_n,25,pondet,noun,honey-hive in tree,,,,CLEAN,,,,,,,,,,
hollis_p026_chepkiraut_n,26,chepkiraut,noun,snuff-box,,,,CLEAN,,,,,,,,,,
hollis_p026_kiprauf_n,26,kiprauf,noun,tobacco pouch from ox-horn,,,,CLEAN,,,,,,,,,,
hollis_p026_kirongesiet_n,26,kirongesiet,noun,snuff-box (Lumbwa form),,,,CLEAN,,,,,,,,,,
hollis_p026_olpesienyet_n,26,olpesienyet,noun,tobacco pouch from goat scrotum,,,,CLEAN,,,,,,,,,,
p027__ak_af,27,-ak,affix,one,-_ak ; -_nak (after a vowel),,Bo itok. (S/he) has one ear.,CLEAN,,,,,,,,,,
p027_ab_p,27,ab,particle,of. logok ab ko i. the children of this house,_a:p,,aba,CLEAN,,,,,,,,,,
p027_abai_a,27,abai,adjective,lactating,_apay ; apay ; apa-e:n,Abai chebioset.,The wife is nursing (lactating).,CLEAN,,,,,,,,,,
p027_abaita_n,27,abaita,noun,act of going for milk to obtain a praise name for a new-born infant,_apay-ta ; _apay; apaywa ; apay-we:k,,"Kowo abaita. (She) went to beg milk,",CLEAN,,,,,,,,,,
p027_abule_n,27,abule,noun,paternal uncle (obs. replaced by baba q.v.),_apule ; _apule ; _apuleyta,,,CLEAN,,,,,,,,,,
p027_abunwas_n,27,abunwas,noun,trickster,_abunwa:s ; abunwa:si:n ; abunwa:s-i:n-tet,,,CLEAN,,,,,,,,,,
p027_abusagit_n,27,abusagit,noun,"man's shoulder bag, knapsack",_apusak-it ; _apusak; _apusak-i:n ; apusak-ô:y ; _apusaki:n-ik ; apusak-o:k,Kono abusagit.,Give me the knapsack.,CLEAN,,,,,,,,,,
p027_abusanet_n,27,abusanet,noun,"dim-witted person, fool",_apusan-e:t ; _apusan; _apusan ; _apusan-ik,Abusan no.,That one is a dim-wit.,CLEAN,,,,,,,,,,
hollis_p027_asingaiit_n,27,asingaiit,noun,iron-wire necklace,,,,CLEAN,,,,,,,,,,
hollis_p027_ingipiliek_n,27,ingipiliek,noun,bead anklet (alt),,,,CLEAN,,,,,,,,,,
hollis_p027_ingoriet_n,27,ingoriet,noun,goat-skin garment (boy's),,,,CLEAN,,,,,,,,,,
hollis_p027_ingorietapko_n,27,ingoriet-ap-ko,noun,dressed skin or cloth (girl's),,,,CLEAN,,,,,,,,,,
p027_ke_abus_vt,27,ke-abus,verb_transitive,"to give bad advice, to fool, make a fool of",_ke:-apus,,"Kogiabus. (S/he) was ill-advised, fooled.",CLEAN,,,,,,,,,,
p027_ke_abus_vi,27,ke-abus,verb_intransitive,to be a fool,_ke:-abus,Kigoabus.,Kikwabus. (S/he) has become a fool.,CLEAN,,,,,,,,,,
p027_ke_abus_ak_vstv,27,ke-abus-ak,verb_stative,to be a fool,_ke:-apus-ak,,,CLEAN,,,,,,,,,,
hollis_p027_ketitapiit_n,27,ketit-ap-iit,noun,"wooden ear-plug. (lit. ""tree of ear"")",,,,CLEAN,,,,,,,,,,
hollis_p027_kipalpaliot_n,27,kipalpaliot,noun,wooden ear-ring (boy's),,,,CLEAN,,,,,,,,,,
hollis_p027_kipkarkarek_n,27,kipkarkarek,noun,bead anklet,,,,CLEAN,,,,,,,,,,
hollis_p027_kipoiet_n,27,kipoiet,noun,warrior's garment (sewn hides),,,,CLEAN,,,,,,,,,,
hollis_p027_makirariot_n,27,makirariot,noun,iron-wire bracelet,,,,CLEAN,,,,,,,,,,
hollis_p027_murguyuet_n,27,murguyuet,noun,tree whose seeds adorn girls' apron,,,,CLEAN,,,,,,,,,,
hollis_p027_osiek_n,27,osiek,noun,girl's apron,,,,CLEAN,,,,,,,,,,
hollis_p027_sirimwagik_n,27,sirimwagik,noun,iron-chain necklaces. (pl.; cf. class VIII sirim),,,,CLEAN,,,,,,,,,,
