confidence,transform,gloss_overlap,corpus_id,corpus_page,corpus_headword,corpus_pos,corpus_gloss,creider_primary,creider_secondary,creider_gloss,creider_pos,creider_page,via_variant,notes
HIGH,strip ke- prefix,1.00,p116_ker_v,116,ker,verb,"to see, look at",ke:-kér,,to see,v,78,ker,
HIGH,strip ki- prefix,1.00,p208_mur_atan_v,208,mur atan,verb,to circumcise,ki:-mura:tàn,,to circumcise,v,54,muratan,
MEDIUM,c → ch,1.00,p067_chepkulet_n,67,chepkulet,noun,1. hat,ce:p-ku:l-a,ce:p-ku:l-é:t,hat,n,44,chepkulet,
MEDIUM,c → ch,1.00,hollis_p176_chorin_n,176,chorin,noun,thief,co:r-ì:n,co:r-í:n-tèt,thief,n,45,chorin,
MEDIUM,c → ch,1.00,hollis_p177_che_n,177,che,noun,milk,cè,ce:-kà,milk,n,52,che,
MEDIUM,c → ch,1.00,p233_nwach_a,233,nwach,adjective,short,nwâc,,short,adj,64,nwach,plural: nwákê:n
MEDIUM,c → ch,1.00,p285_ke_tech_vt,285,ke-tech,verb_transitive,"1. to build. 2. to respect, ke-teg-is v.dtr",ke:-tê:c,,to build,v,102,ketech,
MEDIUM,ki- → ke- prefix,1.00,p180_ke_lu_v,180,ke-lu,verb,"to drink (milk only, cf ke-e)",ki:-lú,,to drink (milk),v,15,kelu,
LOW,strip -tet,0.00,p113_kel_n,113,kel,noun,"1. bottom, ket kel bottom of the tree",kè:l-ta,kè:l-té:t,tooth,n,44,kel,
LOW,strip -yat,0.00,p208_mur_a,208,mur,adjective,"dirty, rust-coloured (alsomurwan)",mur-yá:,mur-yâ:t,rat,n,45,mur,
LOW,strip -ka,0.00,p284_te_adv,284,te,adverb,"how (much, big, far)",te:k-á:,te:k-â:t,bamboo,n,45,te,
LOW,strip -yat,0.00,hollis_p172_or_n,172,or,noun,"path, clan",or-yá:,or-yâ:t,ash,n,45,or,
LOW,strip -yat,0.00,p172_lal_v,172,lal,verb,to cough,la:l-yà:,la:l-yâ:t,bag,n,46,lal,variant of là:l
LOW,strip -at,0.00,p279_ta_adv,279,ta,adverb,as long as,tá-á:,tá-à:t,guest,n,46,ta,
LOW,strip -it,0.00,hollis_p172_em_n,172,em,noun,earth,è:mît,è:mt-ít,olive tree,n,48,em,
LOW,c → ch,0.00,p056_chatit_n,56,chatit,noun,"hind leg (of animal), thigh",cá:t,ca:t-ít,hindleg,n,48,chatit,
LOW,strip -atinwa,0.00,hollis_p172_long_n,172,long,noun,shield,lo:ng-a:tinwa,lo:ng-a:tinwê:k,shields,n,50,long,
LOW,strip -atinwa,0.00,hollis_p172_kor_n,172,kor,noun,country,ko:r-a:tinwa,ko:r-a:tinwê:k,districts,n,50,kor,
LOW,strip -atinwa,0.00,p172_lal_v,172,lal,verb,to cough,là:l-a:tinwa,là:l-a:tinwê:k,bags,n,50,lal,
LOW,strip -atinwa,0.00,hollis_p172_em_n,172,em,noun,earth,è:m-a:tinwa,è:m-a:tinwê:k,countries,n,50,em,
LOW,strip -atinwa,0.00,hollis_p172_or_n,172,or,noun,"path, clan",ò:r-a:tinwa,ò:r-a:tinwê:k,"roads, clans",n,50,or,
LOW,strip -ek,0.00,p279_ta_adv,279,ta,adverb,as long as,tá-a,tá-é:k,guests,n,51,ta,
LOW,strip -at,0.00,p113_kel_n,113,kel,noun,"1. bottom, ket kel bottom of the tree",ké:l-ât,kè:l-ék,teeth,n,51,kel,
LOW,strip -wek,0.00,p102_ka_n,102,ka,noun,"(no pi., no sec.) [cf. kot house] home (one's - -)",ka:-wày,ká:-wêk,bones,n,52,ka,
LOW,strip ki- prefix,0.00,hollis_p172_kat_n,172,kat,noun,neck,ki:-kât,,to greet,v,82,kat,
LOW,strip -ta,0.00,p299_ke_tor_vt,299,ke-tor,verb_transitive,"to spear, poke (at), prick, stab",ke:-to:rtá,,to push,v,87,ketor,
LOW,ny → n,0.00,p191_ke_men_v,191,ke-men,verb,"to be arrogant, conceited, snobbish, swellheaded",ke:-mény,,"to dwell, live",v,102,kemen,
LOW,c → ch,0.00,p76_ke_chor_vven,76,ke-chor,verb,"to take down, lower",ke:-cò:r,,to steal,v,148,kechor,
LOW,c → ch,0.00,hollis_p184_achek_pron,184,achek,pronoun,"we, us",ácê:k,áce:k,"we, us (1pl)",pron,57,achek,
