corpus_id,confidence,source,creider_primary,creider_secondary,creider_gloss,gloss_overlap,notes
hollis_p005_asis_-,HIGH,direct match,ásí:s,ásí:s-tà,sun,1.00,
hollis_p041_asis_n,HIGH,direct match,ásí:s,ásí:s-tà,sun,1.00,
hollis_p167_kwang_n,HIGH,direct match,kwà:ng,kwá:nk-ê:t,bow,1.00,
hollis_p168_lakwa_n,HIGH,direct match,la:k-wa,la:k-wé:t,child,1.00,
hollis_p169_ket_n,HIGH,direct match,kè:t,ké:t-ît,tree,1.00,
hollis_p169_kunyut_n,HIGH,direct match,kú:nyût,kù:nt-ít,brain,1.00,
hollis_p170_moso_n,HIGH,direct match,mò:s-o,mò:s-é:t,baboon,1.00,
hollis_p172_em_n,LOW,direct match,è:m,é:m-ê:t,country,0.00,
hollis_p172_kat_n,HIGH,direct match,kà:t,ka:t-ít,neck,1.00,
hollis_p172_kor_n,LOW,fuzzy: strip -atinwa,ko:r-a:tinwa,ko:r-a:tinwê:k,districts,0.00,
hollis_p172_kut_n,HIGH,direct match,kù:t,kú:t-î:t,"mouth, language",1.00,
hollis_p172_long_n,HIGH,direct match,ló:ng,lo:ng-ê:t,shield,1.00,alt primary: lo:ng-à
hollis_p172_ngot_n,HIGH,direct match,ngòt,ngot-ít,spear,1.00,
hollis_p172_or_n,HIGH,direct match,ò:r,ó:r-ê:t,"road, clan",0.50,alt primary: ó:r-â
hollis_p173_met_n,HIGH,direct match,mèt,mét-ít,head,1.00,
hollis_p173_siro_n,LOW,direct match,sí:r-o,sí:r-é:t,market,0.00,
hollis_p174_kong_n,LOW,direct match,kò:ng,kó:n-tâ,eye,0.00,
hollis_p174_kong2_n,HIGH,direct match,kò:ng,kó:n-tâ,eye,1.00,
hollis_p174_kutung_n,HIGH,direct match,kú:tûng,kù:tun-tà,knee,1.00,
hollis_p174_ngetuny_n,HIGH,direct match,ngétúny,ngétun-tà,lion,1.00,
hollis_p176_chorin_n,MEDIUM,fuzzy: c → ch,co:r-ì:n,co:r-í:n-tèt,thief,1.00,
hollis_p176_kipsikisin_n,HIGH,direct match,kipsiki:s-í:n,kipsiki:s-i:n-tèt,Kipsigis person,0.50,
hollis_p177_che_n,MEDIUM,fuzzy: c → ch,cè,ce:-kà,milk,1.00,
hollis_p177_musar_n,LOW,direct match,mú:sâr,mú:sár-ê:k,porridge,0.00,
hollis_p183_aeng_num,HIGH,direct match,áê:ng,,two,1.00,
hollis_p183_sokol_num,HIGH,direct match,sókô:l,,nine,1.00,
hollis_p183_tiptem_num,HIGH,direct match,típtém,,twenty,1.00,
hollis_p183_tisap_num,HIGH,direct match,tísap,,seven,1.00,
hollis_p184_achek_pron,LOW,fuzzy: c → ch,ácê:k,áce:k,"we, us (1pl)",0.00,
hollis_p184_ane_pron,LOW,direct match,ánê:,áne:,"I, me (1sg)",0.00,
hollis_p184_inye_pron,LOW,direct match,ínyê:,íny e:,you (2sg),0.00,
hollis_p184_okwek_pron,HIGH,direct match,ókwê:k,ókwe:k,you (2pl),1.00,
p027__ak_af,LOW,direct match,àk,,and; with,0.00,
p031_ang'wan_num,HIGH,direct match,ángwân,,four,1.00,
p031_anyiny_a,HIGH,direct match,ányîny,,"sweet, tasty",1.00,
p031_anyun_adv,HIGH,direct match,ányun,,indeed,1.00,
p032_artam_num,HIGH,direct match,ártám,,forty,1.00,
p032_asista_n,HIGH,direct match,ásí:s,ásí:s-tà,sun,1.00,
p056_chatit_n,LOW,fuzzy: c → ch,cá:t,ca:t-ít,hindleg,0.00,
p067_chepkulet_n,MEDIUM,fuzzy: c → ch,ce:p-ku:l-a,ce:p-ku:l-é:t,hat,1.00,
p086_emet_n,HIGH,direct match,è:m,é:m-ê:t,country,1.00,
p087_eng'_p,LOW,direct match,é:ng,,"in, with, by",0.00,
p088_eut_n,HIGH,direct match,e:y-u,e-ú:t,hand,1.00,
p098_itit_n,HIGH,direct match,ì:t,í:t-ît,ear,1.00,
p102_ka_n,HIGH,direct match,kà,kâ:t,house,1.00,
p109_kararan_a,HIGH,direct match,kárâ:rán,,beautiful,1.00,plural: kárâ:ran
p111_katet_n,LOW,direct match,ká:t,ka:t-ê:t,arrow,0.00,alt primary: ka:t-à
p111_katit_n,HIGH,direct match,kà:t,ka:t-ít,neck,1.00,
p113_kel_n,LOW,direct match,kè:l,ké:l-tâ,"foot, leg",0.00,
p116_kenyit_n,HIGH,direct match,keny-i,keny-í:t,year,1.00,
p116_ker_v,HIGH,fuzzy: strip ke- prefix,ke:-kér,,to see,1.00,
p120_ketit_n,HIGH,direct match,kè:t,ké:t-ît,tree,1.00,
p125_kiit_n,HIGH,direct match,kìy,kí-ít,thing,1.00,
p125_kim_a,HIGH,direct match,kí:m,,strong,1.00,plural: kí:me:n
p149_konom_num,HIGH,direct match,konóm,,fifty,1.00,
p150_korom_a,HIGH,direct match,kórô:m,,fierce,1.00,
p154_kumik_n,HIGH,direct match,kú:m-în,kù:m-í:k,honey,1.00,
p158_kutit_n,HIGH,direct match,kù:t,kú:t-î:t,"mouth, language",1.00,
p161_kwesit_n,HIGH,direct match,kwé:s-i,kwé:s-í:t,pipe,1.00,
p162_kwesta_n,HIGH,direct match,kwè,kwès-tà,billy-goat,1.00,
p171_lakwet_n,HIGH,direct match,la:k-wa,la:k-wé:t,child,1.00,
p172_lal_v,LOW,direct match,là:l,lá:l-ê:t,bag,0.00,
p172_lalang'_a,HIGH,direct match,lálâng,,warm,1.00,
p172_lalet_n,LOW,direct match,là:l,lá:l-ê:t,bag,0.00,
p173_ke_le_v,HIGH,direct match,ke:-le,,to say,1.00,
p176_let_v,LOW,direct match,lèt,,behind,0.00,
p178_lo_a,HIGH,direct match,lô:,,"far, deep",1.00,
p180_ke_lu_v,LOW,direct match,ke:-lú:,,to shine,0.00,
p180_long'et_n,HIGH,direct match,ló:ng,lo:ng-ê:t,shield,1.00,alt primary: lo:ng-à
p182_lo_num,LOW,direct match,lô:,,"far, deep",0.00,
p188_mat_n,HIGH,direct match,mà,mâ:t,fire,1.00,
p191_ke_men_v,LOW,fuzzy: ny → n,ke:-mény,,"to dwell, live",0.00,
p194_metit_n,HIGH,direct match,mèt,mét-ít,head,1.00,
p195_milet_n,LOW,direct match,míl-a,míl-é:t,"burden, load",0.00,
p196_mining'_a,HIGH,direct match,míníng,,small,1.00,plural: ménke:c
p197_mising'_adv,HIGH,direct match,mi:síng,,very,1.00,
p197_moet_n,HIGH,direct match,mò:-o,mò:-é:t,wound,1.00,
p201_moset_n,HIGH,direct match,mò:s-o,mò:s-é:t,baboon,1.00,
p208_mur_a,LOW,fuzzy: strip -yat,mur-yá:,mur-yâ:t,rat,0.00,
p208_mur_atan_v,HIGH,fuzzy: strip ki- prefix,ki:-mura:tàn,,to circumcise,1.00,
p209_mursik_n,HIGH,direct match,murs-i,murs-í:k,clabbered milk,0.50,
p209_musarek_n,HIGH,direct match,mú:sâr,mú:sár-ê:k,porridge,1.00,
p210_mut_num,HIGH,direct match,mû:t,,five,1.00,
p210_mut_v,LOW,direct match,mû:t,,five,0.00,
p212_moet_n,LOW,direct match,mò:-o,mò:-é:t,wound,0.00,
p221_ng'atatek_n,HIGH,direct match,ngatát,ngatat-ê:k,"mud, dung",1.00,
p222_ng'ering_a,HIGH,direct match,ngéri:ng,,few,1.00,
p223_ng'etet_n,HIGH,direct match,nge:t-a,nge:t-é:t,boy,1.00,
p225_ng'ok_a,LOW,direct match,ngò:k,ngò:k-tà,dog,0.00,
p226_ng'ot_v,LOW,direct match,ngòt,ngot-ít,spear,0.00,
p227_ng'otit_n,HIGH,direct match,ngòt,ngot-ít,spear,1.00,
p228_ng'utum_a,HIGH,direct match,ngútû:m,,blunt,1.00,
p229_ng'wan_a,HIGH,direct match,ngwâ:n,,bitter,1.00,
p230_ng'ot_vven,LOW,direct match,ngòt,ngot-ít,spear,0.00,
p233_nwach_a,MEDIUM,fuzzy: c → ch,nwâc,,short,1.00,plural: nwákê:n
p233_nyalil_a,HIGH,direct match,nyálî:l,,green,1.00,
p233_nyalil_v,LOW,direct match,nyálî:l,,green,0.00,
p236_ke_nyit_v,LOW,direct match,keny-i,keny-í:t,year,0.00,
p237_ke_nyor_vven,LOW,direct match,ke:-nyo:r,,to find,0.00,
p241_oret_n,HIGH,direct match,ò:r,ó:r-ê:t,"road, clan",0.50,alt primary: ó:r-â
p241_orit_n,HIGH,direct match,órî:t,,inside,1.00,
p241_OS_a,HIGH,direct match,ô:s,,old,1.00,
p250_ropta_n,HIGH,direct match,rò:p,ro:p-tà,rain,1.00,
p251_rotwet_n,HIGH,direct match,rò:t-wa,rò:t-wé:t,knife,1.00,
p261_serut_n,HIGH,direct match,ser-u,ser-ú:t,nose,1.00,
p267_ke_sir_vrefl,LOW,direct match,ke:-si:r,,"to pass, exceed",0.00,
p267_ke_sir_vven,LOW,direct match,ke:-si:r,,"to pass, exceed",0.00,
p267_siret_n,HIGH,direct match,sí:r-o,sí:r-é:t,market,1.00,
p268_sisit_num,HIGH,direct match,sisí:t,,eight,1.00,
p270_somok_num,HIGH,direct match,sómok,,three,1.00,
p271_sosom_num,HIGH,direct match,sosóm,,thirty,1.00,
p271_sotet_n,HIGH,direct match,sot-o,sot-é:t,gourd,1.00,
